Time,Type,Interest_ID,Consumer_ID,Route_ID,Content_name,Interest_hop,Path,Result,Hit,Miss
1,interest,I00000,C0,R0,r11/13,0,p0,interest miss in ps,0,1
1,interest,I10000,C1,R1,r10/96,0,p1,interest miss in ps,0,1
2,interest,I10000,C1,R1,r10/96,0,p1,interest miss in ps,0,1
4,interest,I00000,C0,R0,r11/13,0,p0,interest miss in ps,0,1
5,interest,I50000,C5,R5,r1/33,0,p5,interest miss in ps,0,1
7,interest,I20000,C2,R2,r6/91,0,p2,interest miss in ps,0,1
9,interest,I00000,C0,R1,r11/13,1,p0/1,interest miss in ps,0,1
11,interest,I20000,C2,R2,r6/91,0,p2,interest miss in ps,0,1
7,interest,I50000,C5,R5,r1/33,0,p5,interest miss in ps,0,1
10,interest,I40000,C4,R4,r6/35,0,p4,interest hits in ps,1,0
13,interest,I00000,C0,R1,r11/13,1,p0/1,interest miss in ps,0,1
13,interest,I10001,C1,R1,r8/5,0,p1,interest miss in ps,0,1
8,interest,I70000,C7,R7,r1/83,0,p7,interest miss in ps,0,1
9,interest,I70000,C7,R7,r1/83,0,p7,interest miss in ps,0,1
12,interest,I60000,C6,R6,r2/8,0,p6,interest miss in ps,0,1
16,interest,I10000,C1,R2,r10/96,1,p1/2,interest miss in ps,0,1
17,interest,I10000,C1,R1,r10/96,0,p1,interest miss in ps,0,1
17,interest,I50000,C5,R5,r1/33,0,p5,interest miss in ps,0,1
7,interest,I100000,C10,R10,r1/79,0,p10,interest miss in ps,0,1
14,interest,I70000,C7,R7,r1/83,0,p7,interest miss in ps,0,1
13,interest,I80000,C8,R8,r2/3,0,p8,interest miss in ps,0,1
23,interest,I10000,C1,R0,r10/96,1,p1/0,interest miss in ps,0,1
24,interest,I10000,C1,R2,r10/96,1,p1/2,interest miss in ps,0,1
8,interest,I110000,C11,R11,r3/16,0,p11,interest miss in ps,0,1
23,interest,I30000,C3,R3,r3/34,0,p3,interest miss in ps,0,1
21,interest,I50000,C5,R7,r1/33,1,p5/7,interest miss in ps,0,1
25,interest,I20000,C2,R1,r6/91,1,p2/1,interest miss in ps,0,1
22,interest,I60000,C6,R10,r2/8,1,p6/10,interest miss in ps,0,1
26,interest,I30000,C3,R3,r3/34,0,p3,interest miss in ps,0,1
20,interest,I90000,C9,R9,r4/44,0,p9,interest miss in ps,0,1
15,interest,I110000,C11,R11,r3/16,0,p11,interest miss in ps,0,1
29,interest,I40000,C4,R4,r6/35,0,p4,interest miss in ps,0,1
25,interest,I70001,C7,R7,r2/49,0,p7,interest miss in ps,0,1
31,interest,I40000,C4,R4,r6/35,0,p4,interest miss in ps,0,1
34,interest,I00000,C0,R3,r11/13,1,p0/3,interest miss in ps,0,1
35,interest,I20000,C2,R5,r6/91,1,p2/5,interest miss in ps,0,1
36,interest,I10001,C1,R1,r8/5,0,p1,interest miss in ps,0,1
35,interest,I00001,C0,R0,r7/56,0,p0,interest miss in ps,0,1
36,interest,I10002,C1,R1,r8/62,0,p1,interest miss in ps,0,1
30,interest,I70000,C7,R9,r1/83,1,p7/9,interest miss in ps,0,1
20,interest,I110001,C11,R11,r9/1,0,p11,interest miss in ps,0,1
41,interest,I00000,C0,R1,r11/13,1,p0/1,interest miss in ps,0,1
35,interest,I60000,C6,R6,r2/8,0,p6,interest miss in ps,0,1
41,interest,I10000,C1,R0,r10/96,1,p1/0,interest miss in ps,0,1
26,interest,I110002,C11,R11,r1/75,0,p11,interest miss in ps,0,1
38,interest,I50000,C5,R4,r1/33,1,p5/4,interest miss in ps,0,1
36,interest,I60000,C6,R6,r2/8,0,p6,interest miss in ps,0,1
43,interest,I20001,C2,R2,r1/10,0,p2,interest hits in ps,1,0
30,interest,I100000,C10,R10,r1/79,0,p10,interest miss in ps,0,1
35,interest,I80000,C8,R7,r2/3,1,p8/7,interest miss in ps,0,1
29,interest,I110001,C11,R11,r9/1,0,p11,interest hits in ps,1,0
44,interest,I00000,C0,R2,r11/13,2,p0/1/2,interest miss in ps,0,1
32,interest,I100001,C10,R10,r0/79,0,p10,interest miss in ps,0,1
45,interest,I30001,C3,R3,r6/79,0,p3,interest miss in ps,0,1
37,interest,I70002,C7,R7,r7/36,0,p7,interest miss in ps,0,1
43,interest,I50001,C5,R5,r5/13,0,p5,interest miss in ps,0,1
45,interest,I50000,C5,R7,r1/33,1,p5/7,interest miss in ps,0,1
49,interest,I30000,C3,R1,r3/34,1,p3/1,interest miss in ps,0,1
35,interest,I110000,C11,R10,r3/16,1,p11/10,interest miss in ps,0,1
37,interest,I100000,C10,R11,r1/79,1,p10/11,interest miss in ps,0,1
41,interest,I90001,C9,R9,r10/22,0,p9,interest miss in ps,0,1
36,interest,I110003,C11,R11,r5/73,0,p11,interest miss in ps,0,1
52,interest,I00001,C0,R0,r7/56,0,p0,interest miss in ps,0,1
41,interest,I100002,C10,R10,r9/14,0,p10,interest miss in ps,0,1
54,interest,I10001,C1,R0,r8/5,1,p1/0,interest miss in ps,0,1
55,interest,I20000,C2,R1,r6/91,1,p2/1,interest miss in ps,0,1
56,interest,I10000,C1,R5,r10/96,2,p1/2/5,interest miss in ps,0,1
56,interest,I20000,C2,R5,r6/91,1,p2/5,interest miss in ps,0,1
49,interest,I70000,C7,R7,r1/83,0,p7,interest miss in ps,0,1
56,interest,I10002,C1,R1,r8/62,0,p1,interest miss in ps,0,1
56,interest,I20002,C2,R2,r1/74,0,p2,interest hits in ps,1,0
53,interest,I60000,C6,R11,r2/8,2,p6/10/11,interest miss in ps,0,1
54,interest,I60001,C6,R6,r2/56,0,p6,interest miss in ps,0,1
59,interest,I00002,C0,R0,r6/99,0,p0,interest miss in ps,0,1
